,copy number,gamma,growth_rates,mutation_rate,omega,partitioning,pop_size,selection mode,tau,time
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,1320.6603301650825,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,1801.9009504752378,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,362.18109054527264,2000.0
0,4,1571.7858929464733,[0.97 1.   1.   1.  ],1e-06,1571.7858929464733,True,10000.0,dominant,1571.7858929464733,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,188.09404702351176,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,350.1750875437719,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,275.1375687843922,2000.0
0,4,283.14157078539273,[0.97 1.   1.   1.  ],1e-05,283.14157078539273,True,10000.0,dominant,283.14157078539273,2000.0
0,4,1036.518259129565,[0.97 1.   1.   1.  ],1e-05,1036.518259129565,True,10000.0,dominant,1037.51875937969,2000.0
0,4,285.1425712856428,[0.97 1.   1.   1.  ],1e-05,285.1425712856428,True,10000.0,dominant,284.1420710355178,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,1443.7218609304653,False,10000.0,dominant,149.07453726863432,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,1990.9954977488746,False,10000.0,dominant,146.07303651825913,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,0.0,False,10000.0,dominant,151.07553776888446,2000.0
0,4,183.09154577288646,[0.97 1.   1.   1.  ],0.0001,183.09154577288646,True,10000.0,dominant,183.09154577288646,2000.0
0,4,234.11705852926465,[0.97 1.   1.   1.  ],0.0001,234.11705852926465,True,10000.0,dominant,234.11705852926465,2000.0
